日期,up,down,zt,dt,flat,date_str
20250919,0.0,0.0,0.0,0.0,,
20250922,0.0,0.0,0.0,0.0,,
20250923,0.0,0.0,0.0,0.0,,
20250924,0.0,0.0,0.0,0.0,,
20250925,0.0,0.0,0.0,0.0,,
20250926,0.0,0.0,0.0,0.0,,
20250929,0.0,0.0,0.0,0.0,,
20250930,0.0,0.0,0.0,0.0,,
20251009,0.0,0.0,0.0,0.0,,
20251010,0.0,0.0,0.0,0.0,,
20251013,0.0,0.0,0.0,0.0,,
20251014,0.0,0.0,0.0,0.0,,
20251015,0.0,0.0,0.0,0.0,,
20251016,0.0,0.0,0.0,0.0,,
20251017,0.0,0.0,0.0,0.0,,
20251020,0.0,0.0,0.0,0.0,,
20251021,0.0,0.0,0.0,0.0,,
20251022,0.0,0.0,0.0,0.0,,
20251023,0.0,0.0,0.0,0.0,,
20251024,0.0,0.0,0.0,0.0,,
20251027,0.0,0.0,0.0,0.0,,
20251028,0.0,0.0,0.0,0.0,,
20251029,0.0,0.0,0.0,0.0,,
20251030,0.0,0.0,0.0,0.0,,
20251031,0.0,0.0,0.0,0.0,,
20251103,0.0,0.0,0.0,0.0,,
20251104,822.0,4289.0,39.0,10.0,,
20251105,3093.0,1733.0,80.0,3.0,,
20251106,2722.0,2090.0,82.0,17.0,,
20251107,1955.0,2897.0,68.0,10.0,,
20251110,3186.0,1742.0,87.0,13.0,,
20251111,2545.0,2312.0,87.0,5.0,,
20251112,1564.0,3353.0,73.0,14.0,,
20251113,3612.0,1203.0,112.0,1.0,,
20251114,1846.0,3033.0,86.0,22.0,,
20251117,2452.0,2472.0,107.0,8.0,,
20251118,1189.0,3812.0,53.0,55.0,,
20251119,1102.0,3914.0,63.0,25.0,,
20251120,1319.0,3578.0,47.0,17.0,,
20251121,318.0,4796.0,33.0,124.0,,
20251124,3969.0,1022.0,94.0,30.0,,
20251125,3983.0,884.0,99.0,9.0,,
20251126,1558.0,3311.0,82.0,13.0,,
20251127,2637.0,2158.0,67.0,15.0,,
20251128,3912.0,999.0,92.0,7.0,,
20251201,3060.0,1783.0,76.0,7.0,,
20251202,1467.0,3447.0,55.0,7.0,,
20251203,1345.0,3592.0,59.0,18.0,,
20251204,1348.0,3579.0,44.0,22.0,,
20251205,4066.0,902.0,94.0,3.0,,
20251208,3103.0,1726.0,104.0,2.0,,
20251209,1238.0,3752.0,64.0,10.0,,
20251210,2257.0,2590.0,66.0,7.0,,
20251211,713.0,4336.0,43.0,27.0,,
20251212,2451.0,2421.0,101.0,23.0,,
20251215,2120.0,2774.0,68.0,14.0,,
20251216,839.0,4205.0,45.0,29.0,,
20251217,3420.0,1454.0,68.0,25.0,,
20251218,2673.0,2158.0,69.0,8.0,,
20251219,4161.0,822.0,91.0,5.0,,
20251222,2749.0,2060.0,101.0,14.0,,
20251223,1413.0,3550.0,68.0,19.0,,
20251224,3912.0,964.0,96.0,8.0,,
20251225,3509.0,1292.0,107.0,0.0,,
20251226,1712.0,3153.0,97.0,5.0,,
20251229,1891.0,3020.0,92.0,26.0,,
20251230,1662.0,3251.0,69.0,19.0,,
20251231,2281.0,2530.0,73.0,11.0,,
20260105,3907.0,1071.0,158.0,15.0,,
20260106,3748.0,1149.0,137.0,1.0,,
20260107,2010.0,2952.0,118.0,8.0,,
20260108,3452.0,1472.0,123.0,5.0,,
20260109,3625.0,1211.0,154.0,2.0,,
20260112,3816.0,1128.0,297.0,4.0,,
20260113,1475.0,3505.0,94.0,109.0,,
20260114,2497.0,2434.0,158.0,21.0,,
20260115,2103.0,2857.0,75.0,101.0,,
20260116,2204.0,2762.0,92.0,69.0,,
20260119,3350.0,1600.0,107.0,34.0,,
20260120,2094.0,2879.0,71.0,28.0,,
20260121,2899.0,1978.0,112.0,9.0,,
20260122,3290.0,1631.0,97.0,4.0,,
20260123,3632.0,1275.0,157.0,1.0,,
20260126,1508.0,3515.0,101.0,81.0,,
20260127,1812.0,3194.0,89.0,4.0,,
20260128,1597.0,3411.0,106.0,17.0,,
20260129,1671.0,3326.0,104.0,23.0,,
20260130,2297.0,2662.0,73.0,69.0,,
20260202,704.0,4378.0,46.0,159.0,,
20260203,4555.0,497.0,119.0,11.0,,
20260204,3064.0,1888.0,79.0,18.0,,
20260205,1513.0,3408.0,56.0,28.0,,
20260206,2479.0,2377.0,73.0,6.0,,
20260209,4316.0,683.0,118.0,3.0,,
20260210,2057.0,2788.0,72.0,5.0,,
20260211,1877.0,2944.0,60.0,15.0,,
20260212,1914.0,3060.0,86.0,20.0,,
20260213,1361.0,3571.0,38.0,17.0,,
20260224,3700.0,1295.0,121.0,36.0,,
20260225,3457.0,1451.0,105.0,5.0,,
20260226,2338.0,2614.0,90.0,5.0,,
20260227,3075.0,1797.0,94.0,0.0,,
